;Periods;Total Consumption;AC;Dish washer;Washing Machine;Dryer;Water heater;TV;Microwave;Kettle;Lighting;Refrigerator
25133;78;0,355075696996113;0;0;0;0;0;0,142238709677419;0;0;0;0
25134;79;0,367669915081788;0;0;0;0;0;0,143974193548387;0;0;0,0503333333333333;0,14
25135;80;0,545614028679382;0;0;0;0;0;0,143522580645161;0;0;0,0686666666666666;0
25136;81;0,319866055036163;0;0;0;0;0;0,144051612903225;0;0;0,0686666666666666;0
25137;82;1,14282372500008;0;0;0;0;0;0,143432258064516;0;0;0,069;0,14
25138;83;2,34238914223561;0;0;0,434181249999999;0;0;0,143296774193548;0;0;0,0676666666666666;0,14
25139;84;2,25815684493142;0;0;2,0221125;0;0;0,143251612903225;0;0;0,069;0
25140;85;1,50575388058726;0;0;1,221375;0;0;0,143612903225806;0;0;0,0686666666666666;0
25141;86;1,77145125568503;0;0;0,11165;0;0;0,143606451612903;0;0;0,0683333333333333;0
25142;87;1,2860998834371;0;0;0,0884124999999999;0;0;0,143683870967741;0;0;0,107;0,14
25143;88;1,26944301435605;0;0;0,0834874999999999;0;0;0,144135483870967;0;0;0,121333333333333;0
25144;89;1,33160157458535;0;0,648773333333333;0;0;0;0;0;0;0,121666666666666;0
25145;90;1,3836035073262;0;1,23240666666666;0;0;0;0;0;0;0,136333333333333;0
25146;91;1,38874953192034;0;0,118353333333333;0;0;0;0;0;0;0,342;0
25147;92;1,31061121110922;0;0,11216;0;0;0;0;0;0;0,342666666666666;0
25148;93;1,4372305004652;0;0,655473333333333;0;0;0;0;0;0;0,342;0
25149;94;1,34703964836779;0;1,30622666666666;0;0;0;0;0;0;0;0
25150;95;0,742381758555565;0;0;0;0;0;0;0;0;0;0
25151;96;0,377014012371159;0;0;0;0;0;0;0;0;0;0
25152;1;0,245113276721192;0;0;0;0;0;0;0;0;0;0
25153;2;0,331106056123378;0;0;0;0;0;0;0;0;0;0
25154;3;0,409921485433728;0;0;0;0;0;0;0;0;0;0
25155;4;0,404910882539427;0;0;0;0;0;0;0;0;0;0
25156;5;0,412765341130493;0;0;0;0;0;0;0;0;0;0
25157;6;0,398139797547129;0;0;0;0;0;0;0;0;0;0
25158;7;0,371461722677475;0;0;0;0;0;0;0;0;0;0
25159;8;0,751725855844937;0;0;0;0;0;0;0;0;0;0,14
25160;9;0,963525394404022;0;0;0;0;0;0;0;0;0;0
25161;10;1,20863867112521;0;0;0;0;0;0;0;0;0;0
25162;11;1,75560691680306;0;0;0;0;0;0;0;0;0;0,14
25163;12;2,29092889629414;0;0;0;0;0;0;0;0;0;0,14
25164;13;0,919107076854546;0;0;0;0;0,441;0;0;0;0;0
25165;14;0,736829468861881;0;0;0;0;0,054;0;0;0;0;0
25166;15;1,88601801375472;0;0;0;0;0,625;0;0;0;0;0
25167;16;2,44476794731916;0;0;0;0;0,351;0;0;0;0;0,14
25168;17;2,75393568806749;0;0;0;0;0,796;0;0;0;0;0
25169;18;3,29034104115735;0;0;0;0;0,129;0;0;0;0;0
25170;19;1,63196690484369;0;0;0;0;0,482;0;0;0;0;0,14
25171;20;0,377826542570235;0;0;0;0;0;0;0;0;0;0
25172;21;0,394889676750826;0;0;0;0;0;0;0;0;0;0
25173;22;0,334627020319373;0;0;0;0;0;0;0;0;0;0,14
25174;23;0,340314731712903;0;0;0;0;0;0;0;0;0;0,14
25175;24;0,259738820304556;0;0;0;0;0;0;0;0;0;0
25176;25;0,23847761342874;0;0;0;0;0;0;0;0;0;0
25177;26;0,281677135679602;0;0;0;0;0;0;0;0;0;0
25178;27;0,219112310350767;0;0;0;0;0;0;0;0;0;0,14
25179;28;0,263530627900243;0;0;0;0;0;0;0;0;0;0
25180;29;0,260551350503632;0;0;0;0;0;0;0;0;0;0
25181;30;0,223174961346146;0;0;0;0;0;0;0;0;0;0
25182;31;0,268134965695006;0;0;0;0;0;0;0;0;0;0
25183;32;0,217893515052154;0;0;0;0;0;0;0;0;0;0
25184;33;0,25120725321426;0;0;0;0;0;0;0;0;0;0
25185;34;0,275312315786841;0;0;0;0;0;0;0;0;0;0
25186;35;0,197309416675567;0;0;0;0;0;0;0;0;0;0
25187;36;0,267593278895622;0;0;0;0;0;0;0;0;0;0
25188;37;0,231164841637058;0;0;0;0;0;0;0;0;0;0,14
25189;38;0,221956166047532;0;0;0;0;0;0;0;0;0;0
25190;39;0,286552316874056;0;0;0;0;0;0;0;0;0;0
25191;40;0,191080018482653;0;0;0;0;0;0;0;0;0;0,14
25192;41;0,273416411988998;0;0;0;0;0;0;0;0;0;0,14
25193;42;0,245384120120884;0;0;0;0;0;0;0;0;0;0
25194;43;0,196090621376953;0;0;0;0;0;0;0;0;0;0
25195;44;0,295760992463582;0;0;0;0;0;0;0;0;0;0
25196;45;0,207872309263552;0;0;0;0;0;0;0;0;0;0,14
25197;46;0,875230446104454;0;0;0;0;0;0;0;0;0;0
25198;47;1,33756012937857;0;0;1,11300571428571;0;0;0;0;0;0;0
25199;48;0,673316691634125;0;0;0,125508571428571;0;0;0;0;0;0;0,14
25200;49;0,293594245266046;0;0;0,0861771428571428;0;0;0;0;0;0;0
25201;50;0,219653997150151;0;0;0,146714285714285;0;0;0,0314;0;0;0;0
25202;51;0,197309416675567;0;0;0;0;0;0,0308307692307692;0;0;0;0,14
25203;52;0,310115692647254;0;0;0;0;0;0,0306153846153846;0;0;0;0,14
25204;53;0,18512146368943;0;0;0;0;0;0,0307615384615384;0;0;0;0
25205;54;0,254999060809947;0;0;0;0;0;0,0304772727272727;0;0;0;0
25206;55;0,25757207310702;0;0;0;0;0;0;0;0;0;0
25207;56;0,17875664379667;0;0;0;0;0;0;0;0;0;0,14
25208;57;0,382430880364998;0;0;0;0;0;0;0;0;0;0
25209;58;0,524759086903104;0;0,0269875;0;0;0;0;0;0;0;0
25210;59;1,29530855902663;0;1,28138125;0;0;0;0;0;0;0;0
25211;60;1,09745745555168;0;0,03261875;0;0;0,346;0;0;0;0;0
25212;61;0,60438704641253;0;0,03199375;0;0;0,207;0;0;0;0;0
25213;62;0,457996188879045;0;0,03325;0;0;0,373;0;0;0;0;0
25214;63;0,423463655418324;0;0,0295125;0;0;0,079;0;0;0;0;0
25215;64;0,565250175157047;0;0;0;0;0;0;0;0;0;0
25216;65;0,648940785661852;0;0;0;0;0;0;0;0;0;0
25217;66;1,83266186401541;0;0;1,11300571428571;0;0;0;0;0;0;0
25218;67;2,38883878528277;0;0;0,125508571428571;0;0;0;0;0;0;0
25219;68;2,51193711044276;0;0;0,0861771428571428;0;0;0;0;1,87843902439024;0;0,14
